01/07/2021;step.out;tfs_gas_temp_caixa.out1;tfs_gas_temp_cl.out1;tfs_gas_temp_entrada.out1;tfs_gas_temp_saida.out1;tfs_feeder_temp_caixa.out1;tfs_feeder_temp_cl.out1;tfs_feeder_temp_entrada.out1;tfs_feeder_temp_saida.out1;tfs_ve21_temp_caixa.out1;tfs_ve21_temp_cl.out1;tfs_ve21_temp_entrada.out1;tfs_ve21_temp_saida.out1;
01:25:46;1;0.288172;0.00219129;0.0609276;0.0839614;0;-0.0383878;-0.051891;-0.0130569;-0.0106313;0.000303356;0.00173429;0.00247222;
01:25:47;1;0.290061;0.00233383;0.0615522;0.0850275;0;-0.0390492;-0.0524452;-0.013308;-0.0106847;0.000313962;0.00175654;0.00250896;
01:25:48;1;0.291755;0.00246539;0.0621116;0.0859817;0;-0.0396459;-0.0529425;-0.0135354;-0.0107323;0.000323606;0.00177647;0.00254198;
01:25:49;1;0.293442;0.00260001;0.0626686;0.086931;0;-0.0402441;-0.0534385;-0.0137639;-0.0107795;0.00033334;0.0017963;0.00257495;
01:25:50;1;0.295311;0.00275313;0.0632845;0.0879798;0;-0.0409103;-0.0539879;-0.0140193;-0.0108315;0.000344259;0.00181821;0.00261152;
01:25:51;1;0.296986;0.00289407;0.0638361;0.0889183;0;-0.0415112;-0.0544809;-0.0142503;-0.0108778;0.000354178;0.00183782;0.00264438;
01:25:52;1;0.29884;0.00305412;0.064446;0.089955;0;-0.0421804;-0.0550269;-0.0145084;-0.0109287;0.000365297;0.00185949;0.00268083;
01:25:53;1;0.300318;0.00318473;0.0649316;0.0907797;0;-0.0427167;-0.0554625;-0.0147159;-0.0109692;0.000374265;0.00187674;0.00270993;
01:25:54;1;0.302159;0.00335117;0.0655357;0.0918047;0;-0.0433885;-0.0560054;-0.0149766;-0.0110192;0.000385564;0.00189817;0.00274624;
01:25:55;1;0.303809;0.00350393;0.0660766;0.0927215;0;-0.0439941;-0.0564924;-0.0152123;-0.0110638;0.000395816;0.00191735;0.00277885;
01:25:56;1;0.305454;0.00365947;0.0666148;0.093633;0;-0.0446008;-0.0569779;-0.0154492;-0.0111081;0.000406143;0.00193642;0.00281139;
01:25:57;1;0.307275;0.00383549;0.0672096;0.0946393;0;-0.0452761;-0.0575156;-0.0157136;-0.0111567;0.000417704;0.00195749;0.00284746;
01:25:58;1;0.308907;0.00399676;0.0677422;0.0955392;0;-0.0458848;-0.0579979;-0.0159527;-0.0112001;0.000428184;0.00197633;0.00287985;
01:25:59;1;0.310534;0.00416068;0.068272;0.0964336;0;-0.0464943;-0.0584787;-0.0161929;-0.0112431;0.000438735;0.00199506;0.00291216;
01:26:00;1;0.312335;0.00434589;0.0688574;0.0974208;0;-0.0471726;-0.0590112;-0.016461;-0.0112905;0.000450538;0.00201574;0.00294797;
01:26:01;1;0.313949;0.00451529;0.0693815;0.0983034;0;-0.0477839;-0.0594887;-0.0167034;-0.0113327;0.00046123;0.00203423;0.00298011;
01:26:02;1;0.315558;0.00468725;0.0699027;0.0991803;0;-0.0483958;-0.0599647;-0.0169468;-0.0113745;0.000471986;0.00205261;0.00301217;
01:26:03;1;0.317161;0.0048617;0.0704212;0.100052;0;-0.0490085;-0.0604391;-0.0171912;-0.0114159;0.000482804;0.00207087;0.00304414;
01:26:04;1;0.318935;0.00505844;0.070994;0.101013;0;-0.04969;-0.0609644;-0.0174638;-0.0114615;0.000494896;0.00209103;0.00307956;
01:26:05;1;0.320526;0.00523807;0.0715066;0.101872;0;-0.0503039;-0.0614355;-0.0177103;-0.0115022;0.000505841;0.00210905;0.00311135;
01:26:06;1;0.322112;0.0054201;0.0720164;0.102726;0;-0.0509184;-0.061905;-0.0179577;-0.0115425;0.000516842;0.00212696;0.00314304;
